SAMPLE,TN,TP,DOC,Chla,WT,Cond,pH,DO,Longitude,Latitude,AT,Pre,Elevation,Distance,Cropland,Impervious
HSH_23_Jul,0.8736075,0.0142128,4.7935,1.163,26.4,430.37,8.4,9.22,102.8447222,26.95444444,27,174.3,776,1292893.935,1415700,42300
BHT_2_22_Jan,0.646292,0.0276952,1.9135,0.81,17.012,530.5,7.88,8.67,102.89,26.98555556,12.5,11.4,636,1296351.232,1654200,0
BHT_2_22_Mar,0.737038,0.03005144,2.7825,0.72,15.829,514.3,7.95,8.65,102.89,26.98555556,22,41.9,636,1296351.232,1654200,0
BHT_2_22_Jul,0.17121,0.0260456,2.7365,6.6125,34.676,253.2,7.88,7.77,102.89,26.98555556,26.5,137.3,636,1296351.232,1654200,0
BHT_2_22_Dec,0.8529055,0.018312,3.797,2.6896,21.352,503.2,7.82,8.03,102.89,26.98555556,12.4,7.6,636,1296351.232,1654200,0
BHT_2_23_Apr,1.4118595,0.0203616,2.152333333,2.97,16.51,456.6,8.1,9.27,102.89,26.98555556,27,79.6,636,1296351.232,951300,0
BHT_2_23_Jul,0.7286935,0.0142128,4.5285,0.9624,25.27,557.28,8.32,9.93,102.89,26.98555556,25.7,180.4,636,1296351.232,951300,0
BHT_1_22_Jan,0.582236,0.0189496,2.2025,0.61,16.942,509.2,7.88,8.76,102.8847222,27.25277778,12.7,13,606,1331347.216,2175300,279900
BHT_1_22_Mar,0.742376,0.02671324,3.0565,0.63,15.158,496.7,8.03,9.19,102.8847222,27.25277778,21.8,53,606,1331347.216,2175300,279900
BHT_1_22_Jul,0.603588,0.02070448,2.152,0.98,20.399,165.7,7.92,11.43,102.8847222,27.25277778,27.1,158.4,606,1331347.216,2175300,279900
BHT_1_22_Dec,0.76837234,0.038808,3.4125,0.7942,20.732,484.9,10.56,7.97,102.8847222,27.25277778,12.6,7.3,606,1331347.216,2175300,279900
BHT_1_23_Apr,0.713167,0.0162624,1.840333333,0.43,15.533,323.7,8.09,9.42,102.8847222,27.25277778,26.3,81.8,606,1331347.216,2135700,281700
BHT_1_23_Jul,0.713167,0.0060144,4.6995,0.2944,23.54,695.55,8.78,8.75,102.8847222,27.25277778,26.4,197.2,606,1331347.216,2135700,281700
LTH_22_Jan,0.769066,0.017492,1.8265,0.99,16.802,482.4,7.97,9.02,103.4886111,27.97444444,10.2,24.5,593,1467808.453,2336400,54000
LTH_22_Mar,1.057318,0.03005144,2.5535,2.9,17.35,482.187,8.2843,9.5805,103.4886111,27.97444444,20.3,74.5,593,1467808.453,2336400,54000
LTH_22_Jul,1.000379333,0.03739548,1.716,10.75,26.684,512.1,8.35,13.81,103.4886111,27.97444444,27.5,132.9,593,1467808.453,2336400,54000
LTH_23_Apr,0.754571,0.0470064,1.792,3.76,21.907,523.4,8.33,9.4,103.4886111,27.97444444,24.8,102.3,593,1467808.453,2065500,99900
LTH_23_Jul,0.9978195,0.0101136,4.1695,1.4388,26.08,559.14,8.21,10.65,103.4886111,27.97444444,26.7,235,593,1467808.453,2065500,99900
XLD_4_22_Jan,0.603588,0.0196784,1.9165,0.79,16.778,483.7,7.94,9.01,103.5161111,27.97055556,10.8,25.6,462,1470137.658,1888200,144000
XLD_4_22_Mar,0.753052,0.032722,2.771,2.81,18.67,494.346,8.3427,9.5152,103.5161111,27.97055556,21,78,462,1470137.658,1888200,144000
XLD_4_22_Jul,0.795756,0.030055891,2.16,3.13,23.228,518.3,8.02,12.73,103.5161111,27.97055556,28.2,133.2,462,1470137.658,1888200,144000
XLD_4_22_Dec,0.7597465,0.0265104,3.457,1.8964,21.359,431.5,8.38,8.11,103.5161111,27.97055556,11.4,12.2,462,1470137.658,1888200,144000
XLD_4_23_Apr,1.0081705,0.0470064,1.917,2.29,20.995,522.2,8.36,9.57,103.5161111,27.97055556,25.6,104.5,462,1470137.658,1845900,174600
XLD_4_23_Jul,0.557902,0.0060144,4.012,0.3932,25.8,574.6,8.3,10.3,103.5161111,27.97055556,27.4,248.7,462,1470137.658,1845900,174600
XLD_1_22_Jan,0.614264,0.0145768,1.621,0.59,15.225,475.9,7.93,9.59,103.4,28.14,4.7,20.5,1138,1496319.546,1659600,0
XLD_1_22_Mar,0.779742,0.01336044,2.7895,0.91,15.313,464.7,7.97,9.39,103.4,28.14,15.2,64.6,1138,1496319.546,1659600,0
XLD_1_22_Jul,0.897178,0.0260456,1.492,1.11,20.981,428.3,8.09,12.37,103.4,28.14,23.9,126,1138,1496319.546,1659600,0
XLD_1_22_Dec,0.756411765,0.025739225,3.239055,0.3492,21.294,415.5,8.18,7.96,103.4,28.14,6,13.9,1138,1496319.546,1659600,0
XLD_1_23_Apr,0.5734285,0.0347088,1.906666667,0.6,17.616,521.5,8.29,9.21,103.4,28.14,20.9,94.6,1138,1496319.546,1625400,0
XLD_1_23_Jul,0.6872895,0.0265104,4.8725,0.2142,22.7,585.3,7.95,8.63,103.4,28.14,23,185,1138,1496319.546,1625400,0
XLD_3_22_Jan,0.614264,0.0153056,1.4395,0,16.998,461.3,7.91,9.07,103.4933333,28.14361111,8.2,28.5,452,1501645.399,998100,4500
XLD_3_22_Mar,0.854474,0.02070448,2.6985,3.72,16.266,510,8.11,9.79,103.4933333,28.14361111,18.9,79.1,452,1501645.399,998100,4500
XLD_3_22_Jul,0.83846,0.03672784,2.3035,22.47,24.369,502.4,8.36,14.64,103.4933333,28.14361111,27.6,140.4,452,1501645.399,998100,4500
XLD_3_22_Dec,0.8736075,0.0265104,3.8525,1.335,21.39,420.9,8.42,8.06,103.4933333,28.14361111,9.5,14.5,452,1501645.399,998100,4500
XLD_3_23_Apr,0.837379,0.0306096,2.306666667,1.64,17.872,518.9,8.37,9.85,103.4933333,28.14361111,24,105.3,452,1501645.399,1191600,4500
XLD_3_23_Jul,0.754571,0.0060144,3.7745,0.3932,24.6,566.36,8.26,9.61,103.4933333,28.14361111,26.7,252.3,452,1501645.399,1191600,4500
L3_S_1,1.3762216,0.058435203,0.955834,1.5554,15.222,482.4,8.29,8.97,103.5035056,28.14546944,9.6,8.3,508,1506695.199,1582200,13500
L3_S_3,0.7701744,0.0618448,2.0097,9.6314,12.643,417.9,8.36,9.62,103.5035056,28.14546944,19.8,53.6,508,1506695.199,1582200,13500
L3_S_5,2.019809,0.033392,3.874,4.8688,12.872,412.5,8.1,9.22,103.5035056,28.14546944,24.1,181.2,508,1506695.199,1582200,13500
L3_S_7,1.283157895,0.063794,3.9495,1.2387,22.128,470.9,8.07,8.34,103.5035056,28.14546944,26.4,199.1,508,1506695.199,1582200,13500
L3_S_9,2.297959184,0.090818,2.579,0.7558,22.24,414,8.26,8.88,103.5035056,28.14546944,17,64.6,508,1506695.199,1582200,13500
L3_S_11,2.971428571,0.068861,1.666,0.2688,18.698,451.8,8.21,9.06,103.5035056,28.14546944,9.4,19.2,508,1506695.199,1582200,13500
May_1,1.761471808,0.06162695,1.5675,1.8346,20.365,436.4,8.06,9.13,103.5035056,28.14546944,24.3,186.2,508,1506695.199,1536300,13500
July_1,1.746232,0.0934016,1.2735,3.4004,24.322,446.8,8.53,8.67,103.5035056,28.14546944,27.9,186.2,508,1506695.199,1536300,13500
Nov_1,1.679416,0.037,0.8665,0.9446,17.836,444.1,8.06,8.93,103.5035056,28.14546944,8.4,16.7,508,1506695.199,1536300,13500
L2_S_1,1.433672,0.054656904,2.01725548,1.8582,15.409,485.6,8.29,8.98,103.5648583,28.21458056,9.6,8.2,789,1509066.857,1072800,5400
L2_S_3,0.8444352,0.0402256,1.2762,10.0002,12.548,416.4,8.4,9.57,103.5648583,28.21458056,20,54.7,789,1509066.857,1072800,5400
L2_S_5,1.734517,0.041837,2.941,5.5662,17.38,371.7,8.22,8.65,103.5648583,28.21458056,24.7,184.6,789,1509066.857,1072800,5400
L2_S_7,1.188421053,0.068861,3.793,1.0471,22.47,489.1,8.09,8.24,103.5648583,28.21458056,27,200.1,789,1509066.857,1072800,5400
L2_S_9,2.593877551,0.10433,2.56,0.7528,22.271,400.5,8.27,8.84,103.5648583,28.21458056,17.2,63.1,789,1509066.857,1072800,5400
L2_S_11,3.114285714,0.153311,1.527,0.1194,18.718,436.4,8.17,8.96,103.5648583,28.21458056,9.7,19.6,789,1509066.857,1072800,5400
XLD_2_z_Jan,0.368728,0.0182208,2.212,0.36,17.048,463.1,7.88,9.04,103.6152778,28.25277778,7.1,38.4,400,1523284.254,1656000,226800
XLD_2_z_Mar,0.591144667,0.017588827,1.8895,6.54,15.912,505.7,8.11,10.12,103.6152778,28.25277778,18.2,93.5,400,1523284.254,1656000,226800
XLD_2_z_Jul,0.806432,0.03539256,1.733,9.02,24.665,498.4,8.37,15.51,103.6152778,28.25277778,27.3,115.8,400,1523284.254,1656000,226800
XLD_2_z_Nov,0.806326,0.029243201,3.7555,1.2186,21.317,418,8.03,8.29,103.6152778,28.25277778,8.3,12.1,400,1523284.254,1656000,226800
XLD_2_23_Apr,0.754571,0.0306096,2.148333333,1.87,19.611,519.4,8.39,9.91,103.6152778,28.25277778,23.5,108.6,400,1523284.254,1764000,231300
XLD_2_23_Jul,0.5941305,0.0060144,5.2215,0.2758,24.09,567.91,8.2,9.48,103.6152778,28.25277778,26.3,285.5,400,1523284.254,1764000,231300
L1_S_1,1.1956632,0.050119039,3.005872,2.3444,15.413,489.6,8.33,8.7,103.6182278,28.24634167,9.8,7.5,672,1523622.179,1564200,241200
L1_S_3,0.6752856,0.0375232,4.0642,10.8778,14.114,413.3,8.52,9.69,103.6182278,28.24634167,20.3,54.9,672,1523622.179,1564200,241200
L1_S_5,2.060565,0.038459,3.723333333,5.5456,16.38,375,8.18,8.79,103.6182278,28.24634167,25,186.5,672,1523622.179,1564200,241200
L1_S_7,0.925263158,0.075617,4.1705,3.2289,22.313,487.4,8.05,8.22,103.6182278,28.24634167,27,197.7,672,1523622.179,1564200,241200
L1_S_9,2.706122449,0.111086,2.5545,0.0266,22.188,381.1,8.2,8.86,103.6182278,28.24634167,17.4,60.9,672,1523622.179,1564200,241200
L1_S_11,3.665306122,0.112775,1.572,0.2554,18.737,434.3,8.18,9.01,103.6182278,28.24634167,9.5,19.1,672,1523622.179,1564200,241200
May_2,1.657134016,0.05,1.774,2.3558,20.433,435.1,8.06,9.28,103.6182278,28.24634167,24.1,169.1,672,1523622.179,1556100,250200
July_2,1.722015808,0.07500575,1.261,2.1004,23.236,461.7,8.21,8.48,103.6182278,28.24634167,26.9,177.5,672,1523622.179,1556100,250200
Nov_2,1.62186784,0.0398864,0.448,1.1166,17.936,441.6,8.04,8.89,103.6182278,28.24634167,8.6,13,672,1523622.179,1556100,250200
YZY,0.764,0.56010009,6.2895,4.129,23.7,429.2,8.17,8.86,103.64,28.26,21,161.8,972,1529439.677,1963800,438300
YZY_13,3.6529,0.139831671,3.827,5.792666667,15.5,334.6,7.64,10.29,103.64,28.26,18,73.1,972,1529439.677,1931400,438300
May_3,1.688632,0.05,1.2315,1.1568,24.451,435.5,8.04,8.58,103.6779667,28.23868056,24.8,185.8,715,1530441.335,2716200,446400
July_3,1.713976,0.1,1.4005,1.1022,27.037,466.8,8.05,7.94,103.6779667,28.23868056,28.1,183.2,715,1530441.335,2716200,446400
Nov_3,1.571128,0.035,0.642,0.8292,17.029,443.1,8.02,9.07,103.6779667,28.23868056,9.1,15.9,715,1530441.335,2716200,446400
B10_1,1.734517,0.041837,2.941,5.5662,17.38,371.7,8.22,8.65,103.6955528,28.22633333,9.3,6.3,718,1536577.174,2422800,92700
B10_3,0.5515176,0.0469816,1.3312,6.7296,13.91,423.3,8.51,9.85,103.6955528,28.22633333,19.9,69.4,718,1536577.174,2422800,92700
B10_5,1.928108,0.040148,3.559333333,1.5096,20.459,373.7,8.22,8.96,103.6955528,28.22633333,25.2,170.4,718,1536577.174,2422800,92700
B10_7,1.198947368,0.084062,3.9595,0.4857,22.378,474.9,8.08,8.97,103.6955528,28.22633333,28,199.1,718,1536577.174,2422800,92700
B10_9,2.583673469,0.124598,2.475,0.482,22.38,366.2,8.25,9.43,103.6955528,28.22633333,16.9,65.8,718,1536577.174,2422800,92700
B10_11,2.859183673,0.075617,1.541,0.0762,18.779,429,8.18,9.12,103.6955528,28.22633333,8,21.9,718,1536577.174,2422800,92700
B9_1,0.5515176,0.0469816,1.3312,6.7296,13.91,423.3,8.51,9.85,103.7292944,28.229225,10.2,5.8,697,1542888.107,2690100,36000
B9_3,0.691788,0.1064344,2.0387,5.4008,14.096,414.4,8.54,9.87,103.7292944,28.229225,20.7,54.1,697,1542888.107,2690100,36000
B9_5,2.121699,0.040148,3.313,1.9484,18.479,372.3,8.17,8.94,103.7292944,28.229225,25.3,190.7,697,1542888.107,2690100,36000
B9_7,1.409473684,0.089129,4.2165,0.4651,22.391,473,8.08,8.94,103.7292944,28.229225,27.4,180.1,697,1542888.107,2690100,36000
